DOI,publication_date,total_size_kb,num_files,bash,stata,julia,python,R,C,C++,Matlab,fortran,SAS,Java,SPSS,Mathematica,PHP,Scilab
10.7910/DVN/OX5CZF,2015-10-21,65.52,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/W1YJZQ,2015-10-21,16076.12,33,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/O3A06T,2015-10-20,6009.47,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/AIRCBB,2015-10-16,7564.42,15,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/WTURMZ,2015-10-13,195847.45,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/OCUJ2F,2015-09-29,202.59,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/BLXMCY,2015-09-24,4203.11,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/HPB1CA,2015-09-23,144.6,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/7D48YB,2015-09-18,28633.32,40,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/4LZXTY,2015-09-02,265101.86,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/E9UQ0S,2015-09-02,12522.81,80,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/OJCQ5O,2015-08-28,858.23,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29591,2015-08-26,10287.18,15,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/INXGMT,2015-08-18,2952297.43,34,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/SDUGCC,2015-08-04,10034.65,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/ZXZMJB,2015-07-31,1186207.56,26,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/4FCVUR,2015-07-29,29675.97,133,0,36,0,0,10,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/SPXP04,2015-07-14,268.83,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/GKASQ5,2015-07-09,718.47,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10.7910/DVN/29405,2015-07-06,3696.27,38,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
